Time(hr),Time(min),Time(sec), Hour,Minute,Second,Azim,Elevetr,Elevref,Etrn,Ampress,Gndrn
10.4167,625,37500,10,25,0,0,45.8709,45.886,1379.09,1.39132,970.975
10.4333,626,37560,10,26,0,0,46.0805,46.0955,1379.09,1.38643,972.008
10.45,627,37620,10,27,0,0,46.2899,46.3048,1379.09,1.38159,973.032
10.4667,628,37680,10,28,0,0,46.5001,46.5149,1379.09,1.37679,974.051
10.4833,629,37740,10,29,0,0,46.7091,46.7237,1379.09,1.37207,975.055
10.5,630,37800,10,30,0,0,46.9178,46.9324,1379.09,1.36741,976.049
10.5167,631,37860,10,31,0,0,47.1263,47.1408,1379.09,1.3628,977.034
10.5333,632,37920,10,32,0,0,47.3346,47.349,1379.09,1.35824,978.01
10.55,633,37980,10,33,0,0,47.5438,47.558,1379.09,1.35371,978.981
10.5667,634,38040,10,34,0,0,47.7516,47.7658,1379.09,1.34926,979.938
10.5833,635,38100,10,35,0,0,47.9593,47.9733,1379.09,1.34486,980.886
10.6,636,38160,10,36,0,0,48.1667,48.1806,1379.09,1.34051,981.825
10.6167,637,38220,10,37,0,0,48.3738,48.3876,1379.09,1.33621,982.754
10.6333,638,38280,10,38,0,0,48.5807,48.5944,1379.09,1.33196,983.675
10.65,639,38340,10,39,0,0,48.7884,48.8021,1379.09,1.32774,984.592
10.6667,640,38400,10,40,0,0,48.9948,49.0084,1379.09,1.32359,985.495
10.6833,641,38460,10,41,0,0,49.201,49.2144,1379.09,1.31949,986.389
10.7,642,38520,10,42,0,0,49.4068,49.4202,1379.09,1.31543,987.275
10.7167,643,38580,10,43,0,0,49.6128,49.6261,1379.09,1.31141,988.154
10.7333,644,38640,10,44,0,0,49.8182,49.8313,1379.09,1.30745,989.023
10.75,645,38700,10,45,0,0,50.0239,50.037,1379.09,1.30352,989.886
10.7667,646,38760,10,46,0,0,50.2287,50.2417,1379.09,1.29965,990.738
10.7833,647,38820,10,47,0,0,50.4332,50.4461,1379.09,1.29582,991.581
10.8,648,38880,10,48,0,0,50.6378,50.6506,1379.09,1.29203,992.418
10.8167,649,38940,10,49,0,0,50.8417,50.8544,1379.09,1.28829,993.245
10.8333,650,39000,10,50,0,0,51.0461,51.0587,1379.09,1.28458,994.067
10.85,651,39060,10,51,0,0,51.2494,51.2619,1379.09,1.28093,994.878
10.8667,652,39120,10,52,0,0,51.4527,51.4651,1379.09,1.27731,995.682
10.8833,653,39180,10,53,0,0,51.6554,51.6677,1379.09,1.27374,996.477
10.9,654,39240,10,54,0,0,51.8577,51.87,1379.09,1.27021,997.265
10.9167,655,39300,10,55,0,0,52.0597,52.0719,1379.09,1.26672,998.044
10.9333,656,39360,10,56,0,0,52.2626,52.2746,1379.09,1.26326,998.82
10.95,657,39420,10,57,0,0,52.4639,52.4759,1379.09,1.25985,999.584
10.9667,658,39480,10,58,0,0,52.6649,52.6768,1379.09,1.25648,1000.34
10.9833,659,39540,10,59,0,0,52.8656,52.8774,1379.09,1.25315,1001.09
11,660,39600,11,0,0,0,53.0658,53.0776,1379.09,1.24986,1001.83
11.0167,661,39660,11,1,0,0,53.2669,53.2785,1379.09,1.2466,1002.57
11.0333,662,39720,11,2,0,0,53.4665,53.478,1379.09,1.24338,1003.29
11.05,663,39780,11,3,0,0,53.6656,53.6771,1379.09,1.24021,1004.01
11.0667,664,39840,11,4,0,0,53.8644,53.8758,1379.09,1.23707,1004.72
11.0833,665,39900,11,5,0,0,54.0628,54.0741,1379.09,1.23396,1005.43
11.1,666,39960,11,6,0,0,54.2608,54.272,1379.09,1.2309,1006.13
