# Time(min),Energy(Wh/m^2)
0,1992.66
1,1967.48
2,1942.42
3,1917.49
4,1892.67
5,1867.98
6,1843.42
7,1818.99
8,1794.69
9,1770.52
10,1746.48
11,1722.59
12,1698.83
13,1675.21
14,1651.73
15,1628.40
16,1605.22
17,1582.18
18,1559.30
19,1536.57
20,1514.00
21,1491.59
22,1469.34
23,1447.26
24,1425.34
25,1403.59
26,1382.01
27,1360.61
28,1339.38
29,1318.34
30,1297.48
